Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
465,6,"Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9585,0.8676,0.091,3.9853,0.9461,176.81,204.78,0.9307,3.0007,"r2, Polarizability",356
461,6,"Q_0, Q_2, C6, r2, Polarizability, Polar_acc",0.9624,0.8667,0.0957,3.7338,0.9523,167.52,195.49,0.9445,2.6854,"Q_0, r2, Scaffold_BX-6",357
459,6,"Q_0, Q_2, C6, r2, r2_acc, Polarizability",0.9624,0.8667,0.0957,3.7338,0.9523,167.52,195.49,0.9445,2.6854,"Q_0, r2, Scaffold_BX-6",358
362,5,"Q_0, Q_2, C6, r2, Polarizability",0.9624,0.8667,0.0957,3.7338,0.953,165.52,191.16,0.9445,2.6854,"Q_0, r2, Scaffold_BX-6",359
501,7,"Q_0, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9624,0.8667,0.0957,3.7338,0.9515,169.52,199.82,0.9445,2.6854,"Q_0, r2, Scaffold_BX-6",360
109,3,"Q_0, Polarizability, Polar_acc",0.9445,0.8665,0.078,3.7066,0.9339,189.85,210.83,0.9421,2.7431,"Polarizability, Scaffold_BX-6",361
107,3,"Q_0, r2_acc, Polarizability",0.9445,0.8665,0.078,3.7066,0.9339,189.85,210.83,0.9421,2.7431,"Polarizability, Scaffold_BX-6",362
29,2,"Q_0, Polarizability",0.9445,0.8665,0.078,3.7066,0.9349,187.85,206.5,0.9421,2.7431,"Polarizability, Scaffold_BX-6",363
240,4,"Q_0, r2_acc, Polarizability, Polar_acc",0.9445,0.8665,0.078,3.7066,0.9328,191.85,215.16,0.9421,2.7431,"Polarizability, Scaffold_BX-6",364
509,8,"Monopole, Q_0, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9633,0.8664,0.0968,3.7752,0.952,169.44,202.07,0.9376,2.8475,"Monopole, Q_0, r2, Scaffold_BX-6",365
489,7,"Monopole, Q_0, Q_2, C6, r2, Polarizability, Polar_acc",0.9633,0.8664,0.0968,3.7752,0.9528,167.44,197.74,0.9376,2.8475,"Monopole, Q_0, r2, Scaffold_BX-6",366
418,6,"Monopole, Q_0, Q_2, C6, r2, Polarizability",0.9633,0.8664,0.0968,3.7752,0.9536,165.44,193.41,0.9376,2.8475,"Monopole, Q_0, r2, Scaffold_BX-6",367
487,7,"Monopole, Q_0, Q_2, C6, r2, r2_acc, Polarizability",0.9633,0.8664,0.0968,3.7752,0.9528,167.44,197.74,0.9376,2.8475,"Monopole, Q_0, r2, Scaffold_BX-6",368
106,3,"Q_0, r2, Polar_acc",0.9446,0.8652,0.0794,3.7075,0.934,189.67,210.64,0.9425,2.7325,"r2, Scaffold_BX-6",369
27,2,"Q_0, r2",0.9446,0.8652,0.0794,3.7075,0.935,187.67,206.31,0.9425,2.7325,"r2, Scaffold_BX-6",370
238,4,"Q_0, r2, r2_acc, Polar_acc",0.9446,0.8652,0.0794,3.7075,0.933,191.67,214.98,0.9425,2.7325,"r2, Scaffold_BX-6",371
104,3,"Q_0, r2, r2_acc",0.9446,0.8652,0.0794,3.7075,0.934,189.67,210.64,0.9425,2.7325,"r2, Scaffold_BX-6",372
11,2,"Monopole, Q_0",0.9451,0.8633,0.0818,3.6977,0.9356,186.96,205.6,0.9437,2.7052,"Monopole, Scaffold_BX-6",373
56,3,"Monopole, Q_0, r2_acc",0.9451,0.8633,0.0818,3.6977,0.9346,188.96,209.94,0.9437,2.7052,"Monopole, Scaffold_BX-6",374
58,3,"Monopole, Q_0, Polar_acc",0.9451,0.8633,0.0818,3.6977,0.9346,188.96,209.94,0.9437,2.7052,"Monopole, Scaffold_BX-6",375
164,4,"Monopole, Q_0, r2_acc, Polar_acc",0.9451,0.8633,0.0818,3.6977,0.9336,190.96,214.27,0.9437,2.7052,"Monopole, Scaffold_BX-6",376
77,3,"Dipole_1, Q_0, r2_acc",0.9476,0.8631,0.0845,3.6308,0.9376,185.4,206.38,0.949,2.5753,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",377
79,3,"Dipole_1, Q_0, Polar_acc",0.9476,0.8631,0.0845,3.6308,0.9376,185.4,206.38,0.949,2.5753,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",378
18,2,"Dipole_1, Q_0",0.9476,0.8631,0.0845,3.6308,0.9386,183.4,202.05,0.949,2.5753,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",379
199,4,"Dipole_1, Q_0, r2_acc, Polar_acc",0.9476,0.8631,0.0845,3.6308,0.9367,187.4,210.71,0.949,2.5753,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",380
214,4,"Dipole_1, C6, r2_acc, Polarizability",0.9501,0.8586,0.0915,3.6595,0.9397,183.73,207.04,0.8932,3.7254,Scaffold_BX-6,381
359,5,"Dipole_1, C6, r2_acc, Polarizability, Polar_acc",0.9501,0.8586,0.0915,3.6595,0.9387,185.73,211.37,0.8932,3.7254,Scaffold_BX-6,382
216,4,"Dipole_1, C6, Polarizability, Polar_acc",0.9501,0.8586,0.0915,3.6595,0.9397,183.73,207.04,0.8932,3.7254,Scaffold_BX-6,383
87,3,"Dipole_1, C6, Polarizability",0.9501,0.8586,0.0915,3.6595,0.9406,181.73,202.71,0.8932,3.7254,Scaffold_BX-6,384
116,3,"Q_2, r2, Polar_acc",0.938,0.8563,0.0816,4.0303,0.9262,198.23,219.2,0.9204,3.2167,—,385
114,3,"Q_2, r2, r2_acc",0.938,0.8563,0.0816,4.0303,0.9262,198.23,219.2,0.9204,3.2167,—,386
32,2,"Q_2, r2",0.938,0.8563,0.0816,4.0303,0.9273,196.23,214.87,0.9204,3.2167,—,387
248,4,"Q_2, r2, r2_acc, Polar_acc",0.938,0.8563,0.0816,4.0303,0.925,200.23,223.54,0.9204,3.2167,—,388
419,6,"Monopole, Q_0, Q_2, C6, r2, Polar_acc",0.9619,0.856,0.1059,3.8837,0.9514,168.91,196.88,0.9558,2.3974,"Monopole, C6, r2, Scaffold_BX-6, Scaffold_Benzene",389
488,7,"Monopole, Q_0, Q_2, C6, r2, r2_acc, Polar_acc",0.9619,0.856,0.1059,3.8837,0.9506,170.91,201.21,0.9558,2.3974,"Monopole, C6, r2, Scaffold_BX-6, Scaffold_Benzene",390
417,6,"Monopole, Q_0, Q_2, C6, r2, r2_acc",0.9619,0.856,0.1059,3.8837,0.9514,168.91,196.88,0.9558,2.3974,"Monopole, C6, r2, Scaffold_BX-6, Scaffold_Benzene",391
291,5,"Monopole, Q_0, Q_2, C6, r2",0.9619,0.856,0.1059,3.8837,0.9522,166.91,192.54,0.9558,2.3974,"Monopole, C6, r2, Scaffold_BX-6, Scaffold_Benzene",392
233,4,"Q_0, C6, r2, Polar_acc",0.9572,0.8552,0.1021,3.8929,0.9474,173.36,196.66,0.9555,2.4046,Scaffold_BX-6,393
372,5,"Q_0, C6, r2, r2_acc, Polar_acc",0.9572,0.8552,0.1021,3.8929,0.9465,175.36,200.99,0.9555,2.4046,Scaffold_BX-6,394
231,4,"Q_0, C6, r2, r2_acc",0.9572,0.8552,0.1021,3.8929,0.9474,173.36,196.66,0.9555,2.4046,Scaffold_BX-6,395
100,3,"Q_0, C6, r2",0.9572,0.8552,0.1021,3.8929,0.9482,171.36,192.33,0.9555,2.4046,Scaffold_BX-6,396
321,5,"Monopole, C6, r2, r2_acc, Polarizability",0.9592,0.8548,0.1044,3.8612,0.9494,171.17,196.8,0.9383,2.8314,Scaffold_BX-6,397
323,5,"Monopole, C6, r2, Polarizability, Polar_acc",0.9592,0.8548,0.1044,3.8612,0.9494,171.17,196.8,0.9383,2.8314,Scaffold_BX-6,398
177,4,"Monopole, C6, r2, Polarizability",0.9592,0.8548,0.1044,3.8612,0.9502,169.17,192.47,0.9383,2.8314,Scaffold_BX-6,399
437,6,"Monopole, C6, r2, r2_acc, Polarizability, Polar_acc",0.9592,0.8548,0.1044,3.8612,0.9486,173.17,201.13,0.9383,2.8314,Scaffold_BX-6,400
429,6,"Monopole, Q_0, C6, r2, Polarizability, Polar_acc",0.96,0.8545,0.1055,3.9042,0.9493,172.18,200.15,0.9441,2.6951,"Q_0, Scaffold_BX-6",401
427,6,"Monopole, Q_0, C6, r2, r2_acc, Polarizability",0.96,0.8545,0.1055,3.9042,0.9493,172.18,200.15,0.9441,2.6951,"Q_0, Scaffold_BX-6",402
302,5,"Monopole, Q_0, C6, r2, Polarizability",0.96,0.8545,0.1055,3.9042,0.9501,170.18,195.82,0.9441,2.6951,"Q_0, Scaffold_BX-6",403
492,7,"Monopole, Q_0, C6, r2, r2_acc, Polarizability, Polar_acc",0.96,0.8545,0.1055,3.9042,0.9484,174.18,204.48,0.9441,2.6951,"Q_0, Scaffold_BX-6",404
68,3,"Monopole, r2, r2_acc",0.9427,0.8522,0.0905,3.6483,0.9339,189.79,210.76,0.939,2.8166,Scaffold_BX-6,405
183,4,"Monopole, r2, r2_acc, Polar_acc",0.9427,0.8522,0.0905,3.6483,0.9329,191.79,215.09,0.939,2.8166,Scaffold_BX-6,406
70,3,"Monopole, r2, Polar_acc",0.9427,0.8522,0.0905,3.6483,0.9339,189.79,210.76,0.939,2.8166,Scaffold_BX-6,407
14,2,"Monopole, r2",0.9427,0.8522,0.0905,3.6483,0.9349,187.79,206.43,0.939,2.8166,Scaffold_BX-6,408
250,4,"Q_2, r2_acc, Polarizability, Polar_acc",0.9328,0.8468,0.086,4.1412,0.9191,205.99,229.3,0.9083,3.4514,—,409
119,3,"Q_2, Polarizability, Polar_acc",0.9328,0.8468,0.086,4.1412,0.9203,203.99,224.97,0.9083,3.4514,—,410
117,3,"Q_2, r2_acc, Polarizability",0.9328,0.8468,0.086,4.1412,0.9203,203.99,224.97,0.9083,3.4514,—,411
34,2,"Q_2, Polarizability",0.9328,0.8468,0.086,4.1412,0.9215,201.99,220.64,0.9083,3.4514,—,412
158,4,"Monopole, Q_0, C6, Polarizability",0.9585,0.8451,0.1134,4.0077,0.9485,171.71,195.02,0.9552,2.4137,"Monopole, C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",413
430,6,"Monopole, Q_0, C6, r2_acc, Polarizability, Polar_acc",0.9585,0.8451,0.1134,4.0077,0.9468,175.71,203.68,0.9552,2.4137,"Monopole, C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",414
304,5,"Monopole, Q_0, C6, r2_acc, Polarizability",0.9585,0.8451,0.1134,4.0077,0.9477,173.71,199.35,0.9552,2.4137,"Monopole, C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",415
306,5,"Monopole, Q_0, C6, Polarizability, Polar_acc",0.9585,0.8451,0.1134,4.0077,0.9477,173.71,199.35,0.9552,2.4137,"Monopole, C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",416
234,4,"Q_0, C6, r2_acc, Polarizability",0.9584,0.8444,0.114,4.013,0.9483,171.94,195.24,0.9516,2.5075,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",417
236,4,"Q_0, C6, Polarizability, Polar_acc",0.9584,0.8444,0.114,4.013,0.9483,171.94,195.24,0.9516,2.5075,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",418
374,5,"Q_0, C6, r2_acc, Polarizability, Polar_acc",0.9584,0.8444,0.114,4.013,0.9475,173.94,199.57,0.9516,2.5075,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",419
102,3,"Q_0, C6, Polarizability",0.9584,0.8444,0.114,4.013,0.9491,169.94,190.91,0.9516,2.5075,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",420
373,5,"Q_0, C6, r2, Polarizability, Polar_acc",0.9584,0.8434,0.1151,4.0276,0.9475,173.94,199.57,0.9517,2.5059,"r2, Scaffold_BX-6, Scaffold_Benzene",421
371,5,"Q_0, C6, r2, r2_acc, Polarizability",0.9584,0.8434,0.1151,4.0276,0.9475,173.94,199.57,0.9517,2.5059,"r2, Scaffold_BX-6, Scaffold_Benzene",422
232,4,"Q_0, C6, r2, Polarizability",0.9584,0.8434,0.1151,4.0276,0.9483,171.94,195.24,0.9517,2.5059,"r2, Scaffold_BX-6, Scaffold_Benzene",423
464,6,"Q_0, C6, r2, r2_acc, Polarizability, Polar_acc",0.9584,0.8434,0.1151,4.0276,0.9467,175.94,203.9,0.9517,2.5059,"r2, Scaffold_BX-6, Scaffold_Benzene",424
16,2,"Monopole, Polarizability",0.9393,0.8389,0.1004,3.8054,0.9308,192.41,211.06,0.9396,2.8006,Scaffold_BX-6,425
73,3,"Monopole, Polarizability, Polar_acc",0.9393,0.8389,0.1004,3.8054,0.9298,194.41,215.39,0.9396,2.8006,Scaffold_BX-6,426
185,4,"Monopole, r2_acc, Polarizability, Polar_acc",0.9393,0.8389,0.1004,3.8054,0.9287,196.41,219.72,0.9396,2.8006,Scaffold_BX-6,427
71,3,"Monopole, r2_acc, Polarizability",0.9393,0.8389,0.1004,3.8054,0.9298,194.41,215.39,0.9396,2.8006,Scaffold_BX-6,428
