Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
45,2,"Polarizability, Polar_acc",0.862,0.6303,0.2317,5.3819,0.8412,248.75,267.4,0.8977,3.482,Scaffold_BX-6,499
129,3,"r2_acc, Polarizability, Polar_acc",0.862,0.6303,0.2317,5.3819,0.8388,250.75,271.73,0.8977,3.482,Scaffold_BX-6,500
37,2,"C6, r2_acc",0.8534,0.6113,0.2421,5.5326,0.8313,253.39,272.03,0.8942,3.5408,Scaffold_BX-6,501
39,2,"C6, Polar_acc",0.8534,0.6113,0.2421,5.5326,0.8313,253.39,272.03,0.8942,3.5408,Scaffold_BX-6,502
124,3,"C6, r2_acc, Polar_acc",0.8534,0.6113,0.2421,5.5326,0.8287,255.39,276.36,0.8942,3.5408,Scaffold_BX-6,503
5,1,C6,0.8534,0.6113,0.2421,5.5326,0.8337,251.39,267.7,0.8942,3.5408,Scaffold_BX-6,504
118,3,"Q_2, r2_acc, Polar_acc",0.3446,0.1821,0.1626,10.3377,0.2316,369.46,390.43,0.5403,7.3813,"Scaffold_BZ-5, Scaffold_BZ-6",505
33,2,"Q_2, r2_acc",0.3446,0.1821,0.1626,10.3377,0.2431,367.46,386.1,0.5403,7.3813,"Scaffold_BZ-5, Scaffold_BZ-6",506
35,2,"Q_2, Polar_acc",0.3446,0.1821,0.1626,10.3377,0.2431,367.46,386.1,0.5403,7.3813,"Scaffold_BZ-5, Scaffold_BZ-6",507
4,1,Q_2,0.3446,0.1821,0.1626,10.3377,0.2542,365.46,381.77,0.5403,7.3813,"Scaffold_BZ-5, Scaffold_BZ-6",508
44,2,"r2_acc, Polar_acc",0.1307,-0.1722,0.3028,11.9907,0.0132,387.61,406.26,-0.1885,11.8682,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",509
7,1,r2_acc,0.1307,-0.1722,0.3028,11.9907,0.0278,385.61,401.92,-0.1885,11.8682,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",510
9,1,Polar_acc,0.1307,-0.1722,0.3028,11.9907,0.0278,385.61,401.92,-0.1885,11.8682,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",511
