Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
62,3,"Monopole, Q_2, Polarizability",0.9515,0.8634,0.088,3.529,0.9419,169.56,190.54,0.9523,2.3134,Scaffold_Benzene,217
320,5,"Monopole, Q_2, r2_acc, Polarizability, Polar_acc",0.9515,0.8634,0.088,3.529,0.94,173.56,199.2,0.9523,2.3134,Scaffold_Benzene,218
175,4,"Monopole, Q_2, Polarizability, Polar_acc",0.9515,0.8634,0.088,3.529,0.941,171.56,194.87,0.9523,2.3134,Scaffold_Benzene,219
173,4,"Monopole, Q_2, r2_acc, Polarizability",0.9515,0.8634,0.088,3.529,0.941,171.56,194.87,0.9523,2.3134,Scaffold_Benzene,220
169,4,"Monopole, Q_2, C6, Polar_acc",0.9528,0.863,0.0898,3.5676,0.9422,169.9,193.21,0.9548,2.2535,Scaffold_Benzene,221
167,4,"Monopole, Q_2, C6, r2_acc",0.9528,0.863,0.0898,3.5676,0.9422,169.9,193.21,0.9548,2.2535,Scaffold_Benzene,222
315,5,"Monopole, Q_2, C6, r2_acc, Polar_acc",0.9528,0.863,0.0898,3.5676,0.9413,171.9,197.54,0.9548,2.2535,Scaffold_Benzene,223
59,3,"Monopole, Q_2, C6",0.9528,0.863,0.0898,3.5676,0.9431,167.9,188.88,0.9548,2.2535,Scaffold_Benzene,224
423,6,"Monopole, Q_0, Q_2, r2, r2_acc, Polarizability",0.9542,0.8627,0.0916,3.4614,0.9432,170.31,198.28,0.9464,2.4542,"Monopole, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene",225
296,5,"Monopole, Q_0, Q_2, r2, Polarizability",0.9542,0.8627,0.0916,3.4614,0.944,168.31,193.95,0.9464,2.4542,"Monopole, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene",226
491,7,"Monopole, Q_0, Q_2, r2, r2_acc, Polarizability, Polar_acc",0.9542,0.8627,0.0916,3.4614,0.9422,172.31,202.61,0.9464,2.4542,"Monopole, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene",227
