Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
407,6,"Monopole, Dipole_1, Q_2, C6, Polarizability, Polar_acc","Monopole, Dipole_1, Q_2, C6, Polarizability, Polar_acc, Scaffold_Factor",0.8264,0.7393,0.0871,0.0444,0.7773,-449.61,-419.48,0.3351,0.1793,"Q_2, C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",83
273,5,"Monopole, Dipole_1, Q_2, C6, Polarizability","Monopole, Dipole_1, Q_2, C6, Polarizability, Scaffold_Factor",0.8264,0.7393,0.0871,0.0444,0.7809,-451.61,-423.8,0.3351,0.1793,"Q_2, C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",84
415,6,"Monopole, Dipole_1, C6, r2_acc, Polarizability, Polar_acc","Monopole, Dipole_1, C6, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8236,0.7381,0.0855,0.0451,0.7732,-448.24,-418.11,0.3259,0.1806,"C6, Polarizability, Scaffold_BX-6",85
143,4,"Monopole, Dipole_1, C6, Polarizability","Monopole, Dipole_1, C6, Polarizability, Scaffold_Factor",0.8236,0.7381,0.0855,0.0451,0.7804,-452.24,-426.75,0.3259,0.1806,"C6, Polarizability, Scaffold_BX-6",86
284,5,"Monopole, Dipole_1, C6, r2_acc, Polarizability","Monopole, Dipole_1, C6, r2_acc, Polarizability, Scaffold_Factor",0.8236,0.7381,0.0855,0.0451,0.7768,-450.24,-422.43,0.3259,0.1806,"C6, Polarizability, Scaffold_BX-6",87
286,5,"Monopole, Dipole_1, C6, Polarizability, Polar_acc","Monopole, Dipole_1, C6, Polarizability, Polar_acc, Scaffold_Factor",0.8236,0.7381,0.0855,0.0451,0.7768,-450.24,-422.43,0.3259,0.1806,"C6, Polarizability, Scaffold_BX-6",88
389,6,"Monopole, Dipole_1, Q_0, Q_2, r2_acc, Polarizability","Monopole, Dipole_1, Q_0, Q_2, r2_acc, Polarizability, Scaffold_Factor",0.8276,0.7379,0.0897,0.0443,0.7786,-450.05,-419.93,0.3234,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",89
259,5,"Monopole, Dipole_1, Q_0, Q_2, Polarizability","Monopole, Dipole_1, Q_0, Q_2, Polarizability, Scaffold_Factor",0.8276,0.7379,0.0897,0.0443,0.7822,-452.05,-424.24,0.3234,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",90
475,7,"Monopole, Dipole_1, Q_0, Q_2, r2_acc, Polarizability, Polar_acc","Monopole, Dipole_1, Q_0, Q_2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8276,0.7379,0.0897,0.0443,0.7749,-448.05,-415.61,0.3234,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",91
391,6,"Monopole, Dipole_1, Q_0, Q_2, Polarizability, Polar_acc","Monopole, Dipole_1, Q_0, Q_2, Polarizability, Polar_acc, Scaffold_Factor",0.8276,0.7379,0.0897,0.0443,0.7786,-450.05,-419.93,0.3234,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",92
468,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polar_acc","Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polar_acc, Scaffold_Factor",0.8275,0.7376,0.0899,0.0444,0.7747,-447.97,-415.52,0.318,0.1816,"Q_0, Q_2, C6, Scaffold_BX-6, Scaffold_Benzene",93
382,6,"Monopole, Dipole_1, Q_0, Q_2, C6, r2","Monopole, Dipole_1, Q_0, Q_2, C6, r2, Scaffold_Factor",0.8275,0.7376,0.0899,0.0444,0.7783,-449.97,-419.84,0.318,0.1816,"Q_0, Q_2, C6, Scaffold_BX-6, Scaffold_Benzene",94
