Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
300,5,"Monopole, Q_0, Q_2, Polarizability, Polar_acc",0.966,0.9358,0.0302,0.1262,0.9592,-318.69,-293.05,0.9848,0.0653,"Q_0, Scaffold_BX-6",158
154,4,"Monopole, Q_0, Q_2, Polarizability",0.966,0.9358,0.0302,0.1262,0.9599,-320.69,-297.38,0.9848,0.0653,"Q_0, Scaffold_BX-6",159
426,6,"Monopole, Q_0, Q_2, r2_acc, Polarizability, Polar_acc",0.966,0.9358,0.0302,0.1262,0.9586,-316.69,-288.72,0.9848,0.0653,"Q_0, Scaffold_BX-6",160
186,4,"Dipole_1, Q_0, Q_2, C6",0.9673,0.9352,0.0321,0.1302,0.9613,-323.51,-300.21,0.9736,0.0861,"Q_2, Scaffold_BX-6, Scaffold_Benzene",161
327,5,"Dipole_1, Q_0, Q_2, C6, r2_acc",0.9673,0.9352,0.0321,0.1302,0.9607,-321.51,-295.88,0.9736,0.0861,"Q_2, Scaffold_BX-6, Scaffold_Benzene",162
442,6,"Dipole_1, Q_0, Q_2, C6, r2_acc, Polar_acc",0.9673,0.9352,0.0321,0.1302,0.9601,-319.51,-291.55,0.9736,0.0861,"Q_2, Scaffold_BX-6, Scaffold_Benzene",163
329,5,"Dipole_1, Q_0, Q_2, C6, Polar_acc",0.9673,0.9352,0.0321,0.1302,0.9607,-321.51,-295.88,0.9736,0.0861,"Q_2, Scaffold_BX-6, Scaffold_Benzene",164
198,4,"Dipole_1, Q_0, r2_acc, Polarizability",0.9652,0.9351,0.0302,0.1294,0.9588,-318.77,-295.46,0.979,0.0768,Scaffold_BX-6,165
78,3,"Dipole_1, Q_0, Polarizability",0.9652,0.9351,0.0302,0.1294,0.9595,-320.77,-299.79,0.979,0.0768,Scaffold_BX-6,166
345,5,"Dipole_1, Q_0, r2_acc, Polarizability, Polar_acc",0.9652,0.9351,0.0302,0.1294,0.9582,-316.77,-291.13,0.979,0.0768,Scaffold_BX-6,167
200,4,"Dipole_1, Q_0, Polarizability, Polar_acc",0.9652,0.9351,0.0302,0.1294,0.9588,-318.77,-295.46,0.979,0.0768,Scaffold_BX-6,168
452,6,"Dipole_1, Q_0, r2, r2_acc, Polarizability, Polar_acc",0.9715,0.9349,0.0366,0.1199,0.9653,-330.1,-302.13,0.9898,0.0536,Scaffold_BX-6,169
344,5,"Dipole_1, Q_0, r2, Polarizability, Polar_acc",0.9715,0.9349,0.0366,0.1199,0.9658,-332.1,-306.46,0.9898,0.0536,Scaffold_BX-6,170
342,5,"Dipole_1, Q_0, r2, r2_acc, Polarizability",0.9715,0.9349,0.0366,0.1199,0.9658,-332.1,-306.46,0.9898,0.0536,Scaffold_BX-6,171
196,4,"Dipole_1, Q_0, r2, Polarizability",0.9715,0.9349,0.0366,0.1199,0.9664,-334.1,-310.79,0.9898,0.0536,Scaffold_BX-6,172
131,4,"Monopole, Dipole_1, Q_0, C6",0.9716,0.9347,0.0369,0.1197,0.9665,-334.41,-311.1,0.9878,0.0584,"Q_0, Scaffold_BX-6",173
262,5,"Monopole, Dipole_1, Q_0, C6, r2_acc",0.9716,0.9347,0.0369,0.1197,0.966,-332.41,-306.77,0.9878,0.0584,"Q_0, Scaffold_BX-6",174
264,5,"Monopole, Dipole_1, Q_0, C6, Polar_acc",0.9716,0.9347,0.0369,0.1197,0.966,-332.41,-306.77,0.9878,0.0584,"Q_0, Scaffold_BX-6",175
396,6,"Monopole, Dipole_1, Q_0, C6, r2_acc, Polar_acc",0.9716,0.9347,0.0369,0.1197,0.9654,-330.41,-302.44,0.9878,0.0584,"Q_0, Scaffold_BX-6",176
390,6,"Monopole, Dipole_1, Q_0, Q_2, r2_acc, Polar_acc",0.9661,0.9344,0.0316,0.1287,0.9586,-316.64,-288.67,0.9776,0.0793,"Scaffold_BX-6, Scaffold_BZ-5",177
130,4,"Monopole, Dipole_1, Q_0, Q_2",0.9661,0.9344,0.0316,0.1287,0.9598,-320.64,-297.33,0.9776,0.0793,"Scaffold_BX-6, Scaffold_BZ-5",178
260,5,"Monopole, Dipole_1, Q_0, Q_2, Polar_acc",0.9661,0.9344,0.0316,0.1287,0.9592,-318.64,-293.0,0.9776,0.0793,"Scaffold_BX-6, Scaffold_BZ-5",179
258,5,"Monopole, Dipole_1, Q_0, Q_2, r2_acc",0.9661,0.9344,0.0316,0.1287,0.9592,-318.64,-293.0,0.9776,0.0793,"Scaffold_BX-6, Scaffold_BZ-5",180
47,3,"Monopole, Dipole_1, Q_2",0.9651,0.9339,0.0312,0.1288,0.9593,-320.48,-299.5,0.9762,0.0818,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",181
279,5,"Monopole, Dipole_1, Q_2, r2_acc, Polar_acc",0.9651,0.9339,0.0312,0.1288,0.958,-316.48,-290.84,0.9762,0.0818,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",182
138,4,"Monopole, Dipole_1, Q_2, r2_acc",0.9651,0.9339,0.0312,0.1288,0.9587,-318.48,-295.17,0.9762,0.0818,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",183
140,4,"Monopole, Dipole_1, Q_2, Polar_acc",0.9651,0.9339,0.0312,0.1288,0.9587,-318.48,-295.17,0.9762,0.0818,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",184
151,4,"Monopole, Q_0, Q_2, C6",0.9662,0.9337,0.0326,0.1272,0.9601,-321.14,-297.83,0.9848,0.0652,"Q_0, Scaffold_BX-6",185
421,6,"Monopole, Q_0, Q_2, C6, r2_acc, Polar_acc",0.9662,0.9337,0.0326,0.1272,0.9588,-317.14,-289.17,0.9848,0.0652,"Q_0, Scaffold_BX-6",186
292,5,"Monopole, Q_0, Q_2, C6, r2_acc",0.9662,0.9337,0.0326,0.1272,0.9595,-319.14,-293.5,0.9848,0.0652,"Q_0, Scaffold_BX-6",187
294,5,"Monopole, Q_0, Q_2, C6, Polar_acc",0.9662,0.9337,0.0326,0.1272,0.9595,-319.14,-293.5,0.9848,0.0652,"Q_0, Scaffold_BX-6",188
249,4,"Q_2, r2, Polarizability, Polar_acc",0.9653,0.9331,0.0322,0.1295,0.9589,-318.85,-295.55,0.9854,0.0641,Scaffold_BX-6,189
247,4,"Q_2, r2, r2_acc, Polarizability",0.9653,0.9331,0.0322,0.1295,0.9589,-318.85,-295.55,0.9854,0.0641,Scaffold_BX-6,190
