Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
392,6,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc","Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Scaffold_Factor",0.6472,0.2332,0.4141,0.6016,0.4768,-70.27,-42.0,0.7586,0.268,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",281
261,5,"Monopole, Dipole_1, Q_0, C6, r2","Monopole, Dipole_1, Q_0, C6, r2, Scaffold_Factor",0.6472,0.2332,0.4141,0.6016,0.4869,-72.27,-46.18,0.7586,0.268,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",282
477,7,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polar_acc","Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polar_acc, Scaffold_Factor",0.6472,0.2332,0.4141,0.6016,0.4663,-68.27,-37.83,0.7586,0.268,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",283
394,6,"Monopole, Dipole_1, Q_0, C6, r2, Polar_acc","Monopole, Dipole_1, Q_0, C6, r2, Polar_acc, Scaffold_Factor",0.6472,0.2332,0.4141,0.6016,0.4768,-70.27,-42.0,0.7586,0.268,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",284
35,2,"Q_2, Polar_acc","Q_2, Polar_acc, Scaffold_Factor",0.3919,0.2326,0.1593,0.6139,0.2563,-50.5,-30.93,0.2365,0.4765,"Scaffold_BX-6, Scaffold_BZ-5",285
4,1,Q_2,"Q_2, Scaffold_Factor",0.3919,0.2326,0.1593,0.6139,0.2696,-52.5,-35.11,0.2365,0.4765,"Scaffold_BX-6, Scaffold_BZ-5",286
33,2,"Q_2, r2_acc","Q_2, r2_acc, Scaffold_Factor",0.3919,0.2326,0.1593,0.6139,0.2563,-50.5,-30.93,0.2365,0.4765,"Scaffold_BX-6, Scaffold_BZ-5",287
118,3,"Q_2, r2_acc, Polar_acc","Q_2, r2_acc, Polar_acc, Scaffold_Factor",0.3919,0.2326,0.1593,0.6139,0.2425,-48.5,-26.76,0.2365,0.4765,"Scaffold_BX-6, Scaffold_BZ-5",288
286,5,"Monopole, Dipole_1, C6, Polarizability, Polar_acc","Monopole, Dipole_1, C6, Polarizability, Polar_acc, Scaffold_Factor",0.6629,0.2269,0.4361,0.5995,0.5083,-75.05,-48.96,0.6869,0.3051,Scaffold_BX-6,289
143,4,"Monopole, Dipole_1, C6, Polarizability","Monopole, Dipole_1, C6, Polarizability, Scaffold_Factor",0.6629,0.2269,0.4361,0.5995,0.5176,-77.05,-53.13,0.6869,0.3051,Scaffold_BX-6,290
415,6,"Monopole, Dipole_1, C6, r2_acc, Polarizability, Polar_acc","Monopole, Dipole_1, C6, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6629,0.2269,0.4361,0.5995,0.4987,-73.05,-44.78,0.6869,0.3051,Scaffold_BX-6,291
284,5,"Monopole, Dipole_1, C6, r2_acc, Polarizability","Monopole, Dipole_1, C6, r2_acc, Polarizability, Scaffold_Factor",0.6629,0.2269,0.4361,0.5995,0.5083,-75.05,-48.96,0.6869,0.3051,Scaffold_BX-6,292
371,5,"Q_0, C6, r2, r2_acc, Polarizability","Q_0, C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.6361,0.2259,0.4102,0.6148,0.4673,-69.84,-43.75,0.8338,0.2223,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",293
232,4,"Q_0, C6, r2, Polarizability","Q_0, C6, r2, Polarizability, Scaffold_Factor",0.6361,0.2259,0.4102,0.6148,0.4773,-71.84,-47.92,0.8338,0.2223,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",294
373,5,"Q_0, C6, r2, Polarizability, Polar_acc","Q_0, C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.6361,0.2259,0.4102,0.6148,0.4673,-69.84,-43.75,0.8338,0.2223,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",295
464,6,"Q_0, C6, r2, r2_acc, Polarizability, Polar_acc","Q_0, C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6361,0.2259,0.4102,0.6148,0.4568,-67.84,-39.57,0.8338,0.2223,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",296
323,5,"Monopole, C6, r2, Polarizability, Polar_acc","Monopole, C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.6332,0.2258,0.4073,0.6153,0.4628,-69.29,-43.2,0.8429,0.2161,"C6, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",297
177,4,"Monopole, C6, r2, Polarizability","Monopole, C6, r2, Polarizability, Scaffold_Factor",0.6332,0.2258,0.4073,0.6153,0.4729,-71.29,-47.37,0.8429,0.2161,"C6, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",298
321,5,"Monopole, C6, r2, r2_acc, Polarizability","Monopole, C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.6332,0.2258,0.4073,0.6153,0.4628,-69.29,-43.2,0.8429,0.2161,"C6, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",299
437,6,"Monopole, C6, r2, r2_acc, Polarizability, Polar_acc","Monopole, C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6332,0.2258,0.4073,0.6153,0.4522,-67.29,-39.02,0.8429,0.2161,"C6, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",300
251,4,"C6, r2, r2_acc, Polarizability","C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.6228,0.224,0.3989,0.6148,0.4626,-70.03,-46.12,0.8649,0.2005,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",301
121,3,"C6, r2, Polarizability","C6, r2, Polarizability, Scaffold_Factor",0.6228,0.224,0.3989,0.6148,0.4726,-72.03,-50.29,0.8649,0.2005,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",302
381,5,"C6, r2, r2_acc, Polarizability, Polar_acc","C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6228,0.224,0.3989,0.6148,0.4523,-68.03,-41.94,0.8649,0.2005,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",303
253,4,"C6, r2, Polarizability, Polar_acc","C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.6228,0.224,0.3989,0.6148,0.4626,-70.03,-46.12,0.8649,0.2005,"C6, Polarizability, Scaffold_BX-6, Scaffold_Pyrimidine",304
395,6,"Monopole, Dipole_1, Q_0, C6, r2_acc, Polarizability","Monopole, Dipole_1, Q_0, C6, r2_acc, Polarizability, Scaffold_Factor",0.664,0.2159,0.4481,0.6037,0.4987,-73.05,-44.78,0.6841,0.3065,"Q_0, Scaffold_BX-6",305
263,5,"Monopole, Dipole_1, Q_0, C6, Polarizability","Monopole, Dipole_1, Q_0, C6, Polarizability, Scaffold_Factor",0.664,0.2159,0.4481,0.6037,0.5083,-75.05,-48.96,0.6841,0.3065,"Q_0, Scaffold_BX-6",306
397,6,"Monopole, Dipole_1, Q_0, C6, Polarizability, Polar_acc","Monopole, Dipole_1, Q_0, C6, Polarizability, Polar_acc, Scaffold_Factor",0.664,0.2159,0.4481,0.6037,0.4987,-73.05,-44.78,0.6841,0.3065,"Q_0, Scaffold_BX-6",307
479,7,"Monopole, Dipole_1, Q_0, C6, r2_acc, Polarizability, Polar_acc","Monopole, Dipole_1, Q_0, C6, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.664,0.2159,0.4481,0.6037,0.4887,-71.05,-40.61,0.6841,0.3065,"Q_0, Scaffold_BX-6",308
44,2,"r2_acc, Polar_acc","r2_acc, Polar_acc, Scaffold_Factor",0.3307,0.2144,0.1163,0.613,0.2001,-45.77,-26.2,-0.4204,0.65,Scaffold_BX-6,309
7,1,r2_acc,"r2_acc, Scaffold_Factor",0.3307,0.2144,0.1163,0.613,0.2144,-47.77,-30.38,-0.4204,0.65,Scaffold_BX-6,310
9,1,Polar_acc,"Polar_acc, Scaffold_Factor",0.3307,0.2144,0.1163,0.613,0.2144,-47.77,-30.38,-0.4204,0.65,Scaffold_BX-6,311
492,7,"Monopole, Q_0, C6, r2, r2_acc, Polarizability, Polar_acc","Monopole, Q_0, C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.638,0.1947,0.4433,0.6263,0.4465,-65.9,-35.46,0.8322,0.2234,"Monopole, Q_0, C6, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",312
427,6,"Monopole, Q_0, C6, r2, r2_acc, Polarizability","Monopole, Q_0, C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.638,0.1947,0.4433,0.6263,0.4574,-67.9,-39.63,0.8322,0.2234,"Monopole, Q_0, C6, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",313
429,6,"Monopole, Q_0, C6, r2, Polarizability, Polar_acc","Monopole, Q_0, C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.638,0.1947,0.4433,0.6263,0.4574,-67.9,-39.63,0.8322,0.2234,"Monopole, Q_0, C6, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",314
302,5,"Monopole, Q_0, C6, r2, Polarizability","Monopole, Q_0, C6, r2, Polarizability, Scaffold_Factor",0.638,0.1947,0.4433,0.6263,0.4678,-69.9,-43.81,0.8322,0.2234,"Monopole, Q_0, C6, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",315
115,3,"Q_2, r2, Polarizability","Q_2, r2, Polarizability, Scaffold_Factor",0.6353,0.19,0.4453,0.6236,0.4842,-73.48,-51.74,0.3859,0.4274,"Q_2, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",316
380,5,"Q_2, r2, r2_acc, Polarizability, Polar_acc","Q_2, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6353,0.19,0.4453,0.6236,0.4644,-69.48,-43.39,0.3859,0.4274,"Q_2, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",317
249,4,"Q_2, r2, Polarizability, Polar_acc","Q_2, r2, Polarizability, Polar_acc, Scaffold_Factor",0.6353,0.19,0.4453,0.6236,0.4745,-71.48,-47.56,0.3859,0.4274,"Q_2, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",318
247,4,"Q_2, r2, r2_acc, Polarizability","Q_2, r2, r2_acc, Polarizability, Scaffold_Factor",0.6353,0.19,0.4453,0.6236,0.4745,-71.48,-47.56,0.3859,0.4274,"Q_2, r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",319
