Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
17,2,"Monopole, Polar_acc",0.9165,0.8068,0.1097,4.9858,0.904,235.84,254.48,0.9412,3.1411,Scaffold_BX-6,492
40,2,"r2, r2_acc",0.9003,0.7739,0.1264,5.4259,0.8852,249.46,268.1,0.9264,3.5134,Scaffold_BX-6,493
6,1,r2,0.9003,0.7739,0.1264,5.4259,0.8869,247.46,263.77,0.9264,3.5134,Scaffold_BX-6,494
127,3,"r2, r2_acc, Polar_acc",0.9003,0.7739,0.1264,5.4259,0.8835,251.46,272.43,0.9264,3.5134,Scaffold_BX-6,495
42,2,"r2, Polar_acc",0.9003,0.7739,0.1264,5.4259,0.8852,249.46,268.1,0.9264,3.5134,Scaffold_BX-6,496
45,2,"Polarizability, Polar_acc",0.8941,0.7624,0.1317,5.5803,0.8779,254.13,272.78,0.919,3.6865,Scaffold_BX-6,497
129,3,"r2_acc, Polarizability, Polar_acc",0.8941,0.7624,0.1317,5.5803,0.8761,256.13,277.11,0.919,3.6865,Scaffold_BX-6,498
43,2,"r2_acc, Polarizability",0.8941,0.7624,0.1317,5.5803,0.8779,254.13,272.78,0.919,3.6865,Scaffold_BX-6,499
8,1,Polarizability,0.8941,0.7624,0.1317,5.5803,0.8797,252.13,268.45,0.919,3.6865,Scaffold_BX-6,500
124,3,"C6, r2_acc, Polar_acc",0.8867,0.7483,0.1384,5.7555,0.8673,261.3,282.28,0.9159,3.7562,Scaffold_BX-6,501
39,2,"C6, Polar_acc",0.8867,0.7483,0.1384,5.7555,0.8693,259.3,277.94,0.9159,3.7562,Scaffold_BX-6,502
37,2,"C6, r2_acc",0.8867,0.7483,0.1384,5.7555,0.8693,259.3,277.94,0.9159,3.7562,Scaffold_BX-6,503
5,1,C6,0.8867,0.7483,0.1384,5.7555,0.8712,257.3,273.61,0.9159,3.7562,Scaffold_BX-6,504
33,2,"Q_2, r2_acc",0.4042,0.2922,0.112,11.6045,0.3117,385.58,404.22,0.593,8.2644,Scaffold_BZ-5,505
35,2,"Q_2, Polar_acc",0.4042,0.2922,0.112,11.6045,0.3117,385.58,404.22,0.593,8.2644,Scaffold_BZ-5,506
118,3,"Q_2, r2_acc, Polar_acc",0.4042,0.2922,0.112,11.6045,0.3012,387.58,408.55,0.593,8.2644,Scaffold_BZ-5,507
4,1,Q_2,0.4042,0.2922,0.112,11.6045,0.3218,383.58,399.89,0.593,8.2644,Scaffold_BZ-5,508
44,2,"r2_acc, Polar_acc",0.1778,-0.0662,0.244,13.8148,0.0671,408.68,427.33,-0.1278,13.7575,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",509
7,1,r2_acc,0.1778,-0.0662,0.244,13.8148,0.0809,406.68,423.0,-0.1278,13.7575,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",510
9,1,Polar_acc,0.1778,-0.0662,0.244,13.8148,0.0809,406.68,423.0,-0.1278,13.7575,"Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6",511
