Aromatic,Substituent,Sub_Type,Smiles
BZ-5,NH2,EDG,NC1=CC=C2SC(I)=NC2=C1
BZ-5,OH,EDG,OC1=CC=C2SC(I)=NC2=C1
BZ-5,CH3,EDG,CC1=CC=C2SC(I)=NC2=C1
BZ-5,OTMS,EDG,C[Si](C)(C)OC1=CC=C2SC(I)=NC2=C1
BZ-5,NHCONH2,EDG,NC(=O)NC1=CC=C2SC(I)=NC2=C1
BZ-5,CCH33,EDG,CC(C)(C)C1=CC=C2SC(I)=NC2=C1
BZ-5,OPh,EDG,IC1=NC2=CC(OC3=CC=CC=C3)=CC=C2S1
BZ-6,SF5,EWG,IC1=NC2=CC=C(S(F)(F)(F)(F)F)C=C2S1
BZ-6,NO2,EWG,O=N(=O)c2ccc1nc(I)sc1c2
BZ-6,CN,EWG,N#Cc2ccc1nc(I)sc1c2
BZ-6,CF3,EWG,FC(F)(F)c2ccc1nc(I)sc1c2
BZ-6,SO3,EWG,O=S(=O)(O)c2ccc1nc(I)sc1c2
BZ-6,CONH2,EWG,NC(=O)c2ccc1nc(I)sc1c2
BZ-6,COOH,EWG,O=C(O)c2ccc1nc(I)sc1c2
BZ-6,NCH3+,EWG,C[N+](C)(C)C1=CC=C2N=C(I)SC2=C1
BZ-6,NMe2,EDG,CN(C)C1=CC=C2N=C(I)SC2=C1
BZ-6,NH2,EDG,NC1=CC=C2N=C(I)SC2=C1
BZ-6,OH,EDG,OC1=CC=C2N=C(I)SC2=C1
BZ-6,CH3,EDG,CC1=CC=C2N=C(I)SC2=C1
BZ-6,OTMS,EDG,C[Si](C)(C)OC1=CC=C2N=C(I)SC2=C1
BZ-6,NHCONH2,EDG,NC(=O)NC1=CC=C2N=C(I)SC2=C1
BZ-6,CCH33,EDG,CC(C)(C)C1=CC=C2N=C(I)SC2=C1
BZ-6,OPh,EDG,IC1=NC2=CC=C(OC3=CC=CC=C3)C=C2S1
